,Planet Name,Full Phase Curve Noise Estimate 1.95-2.6um,Full Phase Curve Noise Estimate 2.6-3.25um,Full Phase Curve Noise Estimate 3.25-3.9um
0,TOI-5704b,8.258946384667574e-06,1.1010923005119685e-05,1.4086900908524643e-05
1,TOI-672b,1.0727661910350206e-05,1.3946015554126382e-05,1.7578022848365032e-05
2,TOI-199b,1.5407289263247215e-06,2.0830729912826722e-06,2.6871866819054737e-06
3,WASP-176b,1.5788713110461234e-05,2.1579061111403614e-05,2.8017060864533343e-05
4,TOI-1801b,2.843873140938976e-06,3.7105023753505896e-06,4.68687813833509e-06
5,TOI-836c,1.9844726577046688e-06,2.6432401394441536e-06,3.379770441223595e-06
6,TOI-3807b,1.9003105960874255e-05,2.5909881454434107e-05,3.3591853341847865e-05
7,TOI-4087b,1.6216018805826913e-05,2.2198688648081075e-05,2.8849100835827634e-05
8,TOI-2818b,1.410367951546393e-05,1.921518131057177e-05,2.490104501868165e-05
9,TOI-3235b,2.303201383966861e-05,2.9461841851834247e-05,3.678236183482925e-05
10,TOI-4463Ab,1.1045634468137247e-05,1.5030277492635268e-05,1.9463533799870733e-05
11,TOI-3785b,1.3268031648200188e-05,1.7117235398842792e-05,2.1478089568178e-05
12,WASP-124b,2.5763519790046038e-05,3.526394105955886e-05,4.5824910562061265e-05
13,WASP-25b,1.5186459923136602e-05,2.0699332895843547e-05,2.68312583662471e-05
14,LHS1140c,8.148572117421938e-06,1.0193289155185864e-05,1.2559532534345613e-05
15,TOI-1199b,1.0015747925829688e-05,1.3643433424943535e-05,1.767885382082656e-05
16,TOI-1273b,8.81467942274159e-06,1.2003711314638625e-05,1.5551344717573307e-05
17,TOI-5803b,5.9416790030406995e-06,8.015145053126623e-06,1.0325849738267807e-05
18,TOI-3819b,2.210339309549467e-05,3.0174914729085893e-05,3.915069051031123e-05
19,TOI-4791b,1.2099414748941387e-05,1.656288457824558e-05,2.1524551474157067e-05
20,TOI-4377b,7.87419587428952e-06,1.0588547588237411e-05,1.3615621573901344e-05
21,Wolf327b,1.3046369685986427e-05,1.6806511291509522e-05,2.1069899231220567e-05
22,HD118203b,2.090929038318802e-06,2.8550024713562853e-06,3.7046526803494152e-06
23,TOI-1470b,1.1923899730949113e-05,1.5467490664708245e-05,1.9470760918169546e-05
24,V1298Taub,2.2017506215655878e-06,2.9604841777286927e-06,3.8066482626122647e-06
25,TOI-2109b,1.5680720313193473e-05,2.159132217357602e-05,2.815733653174688e-05
26,K2-138g,4.5015052736115984e-06,6.096991027238146e-06,7.873566407623875e-06
27,K2-141c,4.552591907301477e-06,6.070902119968992e-06,7.767860768660886e-06
28,TRAPPIST-1b,2.0583143397808296e-05,2.4934137998508585e-05,3.014451091487272e-05
29,TRAPPIST-1e,1.0397166195635412e-05,1.25949847263371e-05,1.522690114967815e-05
30,TRAPPIST-1f,8.482873491405652e-06,1.027603676322446e-05,1.2423373223858048e-05
31,TRAPPIST-1g,7.333198759189966e-06,8.883336538946922e-06,1.0739646795681906e-05
32,GJ3473b,1.3102632770465546e-05,1.6726182231274042e-05,2.0856991901807243e-05
33,TOI-2202b,1.0987895501936832e-05,1.4825157756968067e-05,1.910129103453008e-05
34,TOI-833b,9.638808416206427e-06,1.2601512747549435e-05,1.593643870648028e-05
35,HD28109c,1.4207467853550303e-06,1.946435394623009e-06,2.5307397844727334e-06
36,TOI-2641b,1.2725048153349273e-05,1.7428907132893948e-05,2.2657428884346664e-05
37,TOI-1685b,1.421300534549253e-05,1.8220011082643902e-05,2.2776121981183055e-05
38,K2-87b,1.2842844529074613e-05,1.7504177203065193e-05,2.2688976493245154e-05
39,WASP-178b,1.0471178039352462e-05,1.4669783420369678e-05,1.9330009085758333e-05
40,HIP29442b,2.340616803506662e-06,3.166459309111902e-06,4.0862477729910675e-06
41,HD152843c,1.6364383999413483e-06,2.247260502128309e-06,2.926002100794658e-06
42,K2-26b,8.469629238240656e-06,1.1018915320471314e-05,1.3894826322253484e-05
43,TOI-1246d,5.819354314649741e-06,7.852667566564312e-06,1.0118468282605442e-05
44,WASP-62b,6.769467902756434e-06,9.287158538727476e-06,1.2085110893336752e-05
45,WASP-80b,7.299343919583863e-06,9.61290748655954e-06,1.2209459278381264e-05
46,WASP-22b,1.6044142135755457e-05,2.1945821069326292e-05,2.8506889518861585e-05
47,WASP-60b,1.999623357055079e-05,2.7314079776443253e-05,3.545107442829756e-05
48,TOI-1296b,1.1198036813611924e-05,1.5228874108324484e-05,1.971395195158442e-05
49,HAT-P-59b,1.3596765076858905e-05,1.8512512307180414e-05,2.3981186329176622e-05
50,XO-5b,1.4076823340296745e-05,1.9090150080156858e-05,2.4671180385027155e-05
51,WASP-99b,4.3298254702956466e-06,5.9341848881290405e-06,7.717350499848432e-06
52,HATS-56b,1.225815952247555e-05,1.687792680524964e-05,2.200999100072155e-05
53,WASP-70Ab,1.0509030611552388e-05,1.4326692542026174e-05,1.8572923241252906e-05
54,K2-417b,1.0549316860669093e-05,1.3763076916245278e-05,1.7383931872488455e-05
55,TOI-1759b,2.384089913182185e-06,3.122462934539045e-06,3.95297134975191e-06
56,WASP-150b,1.4344011018488629e-05,1.9675876169224603e-05,2.560137156759925e-05
57,Qatar-4b,3.430678708916969e-05,4.634908948279207e-05,5.976493418189653e-05
58,TOI-1201b,8.557390068893187e-06,1.0991276877542034e-05,1.3755527743862276e-05
59,HAT-P-35b,1.936271982014531e-05,2.6518836569300184e-05,3.447319000431551e-05
60,TOI-561b,1.400445421511477e-05,1.8958076091773284e-05,2.4474501979766463e-05
61,WASP-53b,1.742901637726261e-05,2.3426944101672896e-05,3.0116580605355756e-05
62,KELT-20b,3.768928715036244e-06,5.282690315343094e-06,6.962882402602326e-06
63,KELT-6b,5.830189307539447e-06,7.985547064877252e-06,1.038130302013288e-05
64,piMenc,7.270818103253444e-07,9.950249232217328e-07,1.2928856517704566e-06
65,HATS-24b,3.393757865858688e-05,4.662536054456071e-05,6.07232761298145e-05
66,HD191939d,1.1396276610532563e-06,1.5433276452540446e-06,1.992860489133377e-06
67,WASP-147b,1.5883662837067037e-05,2.1634086616768357e-05,2.8030952520578743e-05
68,WASP-97b,1.059456342095732e-05,1.441648540784693e-05,1.8668700637660345e-05
69,WASP-15b,1.0394970638974915e-05,1.4273303337621994e-05,1.8582939565583856e-05
70,HATS-58Ab,1.2933911338854392e-05,1.792352588077646e-05,2.346365348428076e-05
71,WASP-139b,1.3313683575206618e-05,1.8017885650676742e-05,2.3256842067792796e-05
72,HAT-P-2b,3.4220060174234247e-06,4.698176035414002e-06,6.116286209397752e-06
73,TOI-163b,1.2052937208350514e-05,1.6587707641456522e-05,2.1625575510004304e-05
74,TOI-1478b,5.3450925437192585e-06,7.268422752316769e-06,9.40852934338251e-06
75,WASP-136b,5.623760034056615e-06,7.71820034318827e-06,1.00456881692749e-05
76,HATS-4b,3.2923357510743235e-05,4.4628302562111006e-05,5.7659802385506336e-05
77,L98-59b,4.4401175863369236e-06,5.686796109700774e-06,7.1050805462503985e-06
78,TOI-2076b,2.153900119078351e-06,2.9084494439153964e-06,3.7491531207210425e-06
79,HAT-P-69b,7.304628583395106e-06,1.0142146977692756e-05,1.329239572572613e-05
80,EPIC211945201b,3.3271037680322605e-06,4.552474305186298e-06,5.91469403321938e-06
81,K2-34b,1.395322314412075e-05,1.911899308523469e-05,2.486065140630014e-05
82,WASP-61b,1.8483923532894645e-05,2.5364714124746543e-05,3.301123512349535e-05
83,KELT-21b,1.3330622471107803e-05,1.8540251726751387e-05,2.432359917813032e-05
84,HAT-P-16b,1.141224133486827e-05,1.564249259959238e-05,2.0344147937668877e-05
85,WASP-174b,1.541971373806705e-05,2.1197742574654128e-05,2.7617519847783682e-05
86,WASP-130b,6.1897233692114725e-06,8.420666885203143e-06,1.0902877121079442e-05
87,KOI-12b,5.799534041982601e-06,8.009442771693522e-06,1.0463762039307849e-05
88,WASP-37b,2.2980731742779248e-05,3.1346025148549395e-05,4.0649642055424855e-05
89,HD191939c,1.3197588600627957e-06,1.7872682485799135e-06,2.307854904971408e-06
90,WASP-83b,1.3530400474294967e-05,1.8373446497551824e-05,2.376363274559801e-05
91,WASP-46b,3.8626757823477974e-05,5.252834246570215e-05,6.799663717096809e-05
92,XO-4b,9.50574534735881e-06,1.3067403626892846e-05,1.7024654382434302e-05
93,WASP-170b,2.4201340497543956e-05,3.2911286719781723e-05,4.26028448047049e-05
94,HD191939b,2.3411209777247033e-06,3.17043614268491e-06,4.093905102721822e-06
95,HD86226c,2.402885856401941e-06,3.280536923346751e-06,4.2565034176642e-06
96,TOI-481b,3.87913123177524e-06,5.286124966292693e-06,6.851166867006131e-06
97,WASP-169b,1.3806615403953015e-05,1.8912735345346583e-05,2.4588293562137692e-05
98,Kepler-138b,6.447052280043013e-06,8.404994503047037e-06,1.0611676204112975e-05
99,TOI-4010d,7.32591827249763e-06,9.848441306552654e-06,1.266177687342867e-05
100,WASP-33b,6.467510240990348e-06,8.98258865186312e-06,1.1774818143665799e-05
101,HATS-1b,1.6274998017338274e-05,2.2221626449595167e-05,2.883430838220675e-05
102,HD106315c,1.9636635831527265e-06,2.6971786995168105e-06,3.512237633879846e-06
103,XO-6b,6.218344633708492e-06,8.57896204917799e-06,1.1200880802198914e-05
104,HAT-P-26b,1.1001987039274666e-05,1.4825609087121124e-05,1.9087706409258453e-05
105,TOI-125b,7.3112886002874744e-06,9.896375550627244e-06,1.277522532421197e-05
106,TOI-431d,1.6925004869506737e-06,2.270001286123725e-06,2.9144458936631424e-06
107,KELT-18b,9.431623987417748e-06,1.300517699108745e-05,1.6974475362862738e-05
108,TOI-892b,8.075810140743405e-06,1.1083596379700099e-05,1.4426053082902281e-05
109,DSTucAb,1.936316236368905e-06,2.625828428366557e-06,3.3934249582802007e-06
110,WASP-105b,8.519215998424544e-06,1.1477956764756665e-05,1.4776121593980036e-05
111,TOI-776b,3.043250702460871e-06,3.947655791544765e-06,4.969381509295083e-06
112,HATS-42b,3.699903093468891e-05,5.0649297946346125e-05,6.582310905308034e-05
113,WASP-177b,1.4497004223485452e-05,1.951132452767433e-05,2.5102214752816954e-05
114,HAT-P-13b,1.0339991793750494e-05,1.4072901620904901e-05,1.822594771943102e-05
115,WASP-103b,2.6061052705005463e-05,3.569924838275551e-05,4.641230277664926e-05
116,HATS-27b,2.1964474836837894e-05,3.020863472518555e-05,3.9368019227036826e-05
117,WASP-141b,2.2342930473709455e-05,3.0519576761555864e-05,3.961150425529531e-05
118,K2-238b,2.1268155393696192e-05,2.8936022482923186e-05,3.746739715599565e-05
119,TOI-257b,1.0502859281827066e-06,1.4384341772275148e-06,1.8698795445144086e-06
120,WASP-181b,2.385622527349602e-05,3.255853425231819e-05,4.2236165443224164e-05
121,WASP-135b,2.9072431639431594e-05,3.958140927024988e-05,5.127252982121088e-05
122,WASP-81b,2.0323990710481478e-05,2.7750057422570717e-05,3.600788246356857e-05
123,WASP-19b,3.197555541579387e-05,4.3494306100129334e-05,5.631068740772872e-05
124,HAT-P-4b,1.2301914146443933e-05,1.6794457150275804e-05,2.179029038198416e-05
125,WASP-32b,1.5995695991240323e-05,2.1908561492079995e-05,2.8480940897796614e-05
126,WASP-73b,7.887208524644784e-06,1.0793647240654662e-05,1.4024614609064473e-05
127,LTT1445Ac,2.82686248608564e-06,3.6073766605443987e-06,4.497353213176676e-06
128,WASP-64b,3.156649842180579e-05,4.27868659484241e-05,5.527898853478811e-05
129,HD110113b,7.511721900953955e-06,1.0235828909335588e-05,1.3265956945564198e-05
130,K2-30b,2.034800000805092e-05,2.766285422436873e-05,3.5802502612048864e-05
131,WASP-21b,1.0079974597705068e-05,1.3773461890108538e-05,1.788020016847793e-05
132,HAT-P-21b,1.4157570840661256e-05,1.924917310090445e-05,2.49147788211468e-05
133,KOI-13b,1.8993453805065895e-05,2.6427086145849466e-05,3.467922021449973e-05
134,WASP-123b,9.914689850676681e-06,1.3511838059046398e-05,1.751300930831481e-05
135,KELT-12b,7.073698593000241e-06,9.710394410099944e-06,1.264039699765117e-05
136,HATS-60b,1.9630421706524667e-05,2.6731631525662906e-05,3.46313990557203e-05
137,WASP-133b,2.8439387374581576e-05,3.873423823941451e-05,5.0186454085046254e-05
138,HATS-65b,2.2104856943640672e-05,3.034362220733811e-05,3.949889520918032e-05
139,HATS-40b,3.1995927662972644e-05,4.401644244668234e-05,5.737107047175373e-05
140,HATS-33b,1.68498711069752e-05,2.2935071752277666e-05,2.9705056261988196e-05
141,HATS-68b,1.914438587080713e-05,2.623707795222201e-05,3.412028891517157e-05
142,HAT-P-57b,9.686014731305162e-06,1.3304648041345902e-05,1.732554377437233e-05
143,WASP-54b,7.446871813317108e-06,1.0199634272559357e-05,1.3259436544974375e-05
144,HATS-25b,2.3104656148158123e-05,3.1475487010103577e-05,4.0787050403739424e-05
145,TOI-776c,2.221657346424244e-06,2.8818981240512525e-06,3.6277862117579423e-06
146,HAT-P-5b,1.6638416659196276e-05,2.274632287028706e-05,2.9537157077270294e-05
147,Qatar-8b,1.2304315726760238e-05,1.6767944755793468e-05,2.1732940692834153e-05
148,WASP-18b,9.0853835952935e-06,1.2494630290987528e-05,1.628238107752323e-05
149,TrES-5b,3.871484494432772e-05,5.2261705577067916e-05,6.735629512304742e-05
150,WASP-2b,1.4666791850300347e-05,1.980224202168025e-05,2.552421414161083e-05
151,HAT-P-55b,2.965118195278759e-05,4.044930676575535e-05,5.245843481571501e-05
152,HAT-P-36b,2.527106641952139e-05,3.43442309883065e-05,4.4441021870518265e-05
153,WASP-65b,1.9968376067142158e-05,2.715489871897123e-05,3.51513432355854e-05
154,WASP-159b,1.7749293604128642e-05,2.4316685884317257e-05,3.161636115124556e-05
155,WASP-93b,1.4568269278404611e-05,2.009445832170282e-05,2.6232462772853372e-05
156,WASP-140b,1.0991804838924487e-05,1.4862317005369177e-05,1.9173577950721377e-05
157,KELT-16b,3.1740249242104255e-05,4.3548277663202655e-05,5.6670626944843627e-05
158,Kepler-5b,2.7543610451698075e-05,3.7818674372844225e-05,4.9236458906191084e-05
159,WASP-129b,1.5605870096412984e-05,2.1317013491080824e-05,2.7667453490894635e-05
160,WASP-145Ab,1.3164580361025276e-05,1.767538229670291e-05,2.2707737453363557e-05
161,WASP-167b,1.5445128922991286e-05,2.1368497290846986e-05,2.794610366056713e-05
162,K2-232b,3.5617426148629334e-06,4.864383014142908e-06,6.312873470122025e-06
163,TOI-157b,2.4520434114053423e-05,3.323852889475487e-05,4.294463947667002e-05
164,WASP-76b,8.178045839640362e-06,1.1222389794698838e-05,1.4605524286153174e-05
165,Qatar-2b,2.7374742724787227e-05,3.654482286796676e-05,4.679062997923637e-05
166,LP791-18d,1.9864649424417097e-05,2.4804217167961892e-05,3.052947618839057e-05
167,HATS-22b,2.0431457460663474e-05,2.7374751204675076e-05,3.512494476700118e-05
168,HAT-P-51b,2.413545644649624e-05,3.2741496720296795e-05,4.232151891209031e-05
169,TOI-837b,5.374407020706486e-06,7.3559528257495935e-06,9.558713296551853e-06
170,HAT-P-56b,1.3482917732942228e-05,1.857045618936004e-05,2.4221984628211126e-05
171,WASP-57b,3.2182841562738995e-05,4.376529168853686e-05,5.665308517149776e-05
172,KELT-24b,2.750079600015636e-06,3.785362432546199e-06,4.935483972874545e-06
173,HATS-35b,2.6368649113985082e-05,3.6206713850260714e-05,4.713885492605801e-05
174,WASP-94Ab,7.573760423520278e-06,1.0382760343142644e-05,1.3504727633325408e-05
175,HAT-P-24b,1.738754426473517e-05,2.3895645260727883e-05,3.112681497663012e-05
176,WASP-31b,1.7268641153133248e-05,2.371151992320775e-05,3.087090152282284e-05
177,WASP-183b,2.2476630259964074e-05,3.0420043034006094e-05,3.926633851536553e-05
178,HAT-P-66b,2.988479314469255e-05,4.087872130899101e-05,5.310094778776921e-05
179,WASP-63b,8.639007153084489e-06,1.1738823436356958e-05,1.5188452664612875e-05
180,HAT-P-33b,1.2014605623058871e-05,1.652570036390036e-05,2.153754671794711e-05
181,WASP-48b,2.0618524827467694e-05,2.817196483020454e-05,3.657059694427125e-05
182,HD219134b,6.544173883038893e-07,8.747465649083159e-07,1.1208352181243232e-06
183,HATS-3b,1.5906711722378955e-05,2.1854839904803636e-05,2.8464006912685428e-05
184,HAT-P-8b,7.84037085279662e-06,1.0752322300018718e-05,1.3988565406799319e-05
185,WASP-96b,2.1056654536898727e-05,2.860752857337289e-05,3.701074779068339e-05
186,WASP-24b,1.534870057137458e-05,2.1015534847407148e-05,2.7314701118856108e-05
187,TOI-216.01,4.70652183744998e-06,6.33558663745707e-06,8.1518938202377e-06
188,KELT-3b,8.84826652587027e-06,1.2150410853902022e-05,1.5819752071321986e-05
189,WASP-132b,8.3407139050355e-06,1.11527344151817e-05,1.429322091864449e-05
190,KELT-17b,7.00477028793759e-06,9.730741263269375e-06,1.2757073313881092e-05
191,KELT-10b,8.256732824768279e-06,1.1285892582086574e-05,1.4653819952592613e-05
192,WASP-117b,4.6404424347839485e-06,6.3506159300799995e-06,8.251738281870415e-06
193,HATS-51b,1.6350984262617598e-05,2.2289233033269496e-05,2.8894180937813328e-05
194,K2-333b,8.28537312367591e-06,1.1314317393790189e-05,1.4682451215012568e-05
195,WASP-126b,1.031014278824997e-05,1.4063172519611583e-05,1.82371744543934e-05
196,WASP-6b,1.7082432087893124e-05,2.317394466973231e-05,2.9954838918087255e-05
197,LHS3844b,2.3891550241802716e-05,2.9977158041766758e-05,3.700196271282738e-05
198,KELT-7b,4.555692929808087e-06,6.2896420736107475e-06,8.215410744610465e-06
199,K2-198b,4.4449775389280045e-06,6.005012747251957e-06,7.74299909622363e-06
200,WASP-78b,2.1464389165187173e-05,2.939877640666356e-05,3.821815565610779e-05
201,HAT-P-45b,1.3015742717423165e-05,1.787834116051279e-05,2.3281486396861677e-05
202,TrES-2b,1.598010776953937e-05,2.181278557744828e-05,2.8299019686003805e-05
203,CoRoT-2b,1.9688030426983577e-05,2.6784128459765486e-05,3.4679445864932226e-05
204,HAT-P-27b,1.612132372503261e-05,2.1819878089445308e-05,2.8166089176704203e-05
205,G9-40b,7.325637004204164e-06,9.352015694465234e-06,1.1661993747591862e-05
206,WASP-41b,1.2805646465855228e-05,1.7399124481676154e-05,2.2511045011225204e-05
207,TOI-640b,7.5191895707432765e-06,1.0344065609615967e-05,1.3482464371639648e-05
208,TOI-1259Ab,1.1798629251418796e-05,1.5798350445724208e-05,2.026361590750332e-05
209,WASP-138b,1.643624467915122e-05,2.2560865975563296e-05,2.9366857602569255e-05
210,WASP-74b,7.47414676788462e-06,1.022205583833978e-05,1.3277041520314768e-05
211,HAT-P-25b,1.9826760506977275e-05,2.692745462701795e-05,3.483014301150563e-05
212,HAT-P-62b,2.0457219588168196e-05,2.7832285354609568e-05,3.6037906164921054e-05
213,WASP-29b,7.319270058465767e-06,9.805952279765065e-06,1.2581666580740363e-05
214,WASP-82b,7.9250325248507e-06,1.0904871071177758e-05,1.4215355323486387e-05
215,HAT-P-29b,1.1325584410393646e-05,1.551514580349977e-05,2.0171892628658137e-05
216,K2-31b,1.5222508624499468e-05,2.059017101452962e-05,2.6568637431281617e-05
217,HAT-P-37b,3.077933037645026e-05,4.1789603237407565e-05,5.4044106986763476e-05
218,XO-2Nb,1.1550238133013345e-05,1.5639595364337888e-05,2.019334752625533e-05
219,HAT-P-32b,1.501067637401182e-05,2.0532482138045768e-05,2.6671223502411124e-05
220,KPS-1b,2.6833354566420033e-05,3.6218635046839555e-05,4.667643336312959e-05
221,XO-1b,1.0461195144848516e-05,1.4258738500452163e-05,1.8482716259866e-05
222,WASP-190b,1.4979906402635443e-05,2.0593373005342587e-05,2.6830302967558422e-05
223,WASP-92b,2.9569737384476932e-05,4.0592246459823714e-05,5.284088564315577e-05
224,HAT-P-19b,1.5650133327109096e-05,2.105182905328852e-05,2.707539735117166e-05
225,HAT-P-67b,6.573517251809523e-06,9.037465611329277e-06,1.1775053962089e-05
226,K2-107b,2.25518647924646e-05,3.085976544678171e-05,4.009541040483122e-05
227,HAT-P-1b,7.033052434651328e-06,9.617485933240057e-06,1.2490780090176436e-05
228,WASP-16b,1.0722712171171387e-05,1.4604255792867017e-05,1.8922169277339324e-05
229,K2-261b,4.521624319413226e-06,6.139384816772383e-06,7.93994697980577e-06
230,GJ3470b,5.693624203350002e-06,7.368795912322747e-06,9.263458269570907e-06
