message_num,question,expected_answer,student_answer,human_judgement,old_model_judgement,old_model_correct,human_interpretation,old_model_interpretation
636,The line given below is not curved line.,T,TRUE,1,1,1,T,T
638,These lines are perpendicular.,F,FALSE,1,1,1,F,F
857,Which number comes before 25?,24,"No 
 24",1,0,0,24,48
888,"8, 9, 10, ___, 12",11,A 11,1,1,1,11,11
964,Which number comes before 6?,5,A5,1,0,0,5,Next
971,"17, 18, ___, 20",19,A 19,1,1,1,19,19
974,"___, 27, 28, 29, 30",26,A31,0,1,0,31,Next
1004,"4, 5, 6, ___, 8",7,A 7,1,1,1,7,7
1006,19 _________ 11,G,L,0,0,1,Less,<
1033,Which number comes before 25?,24,is 26,0,1,0,26,156
1052,Which number comes after 28?,29,Sorry is 29,1,1,1,29,29
1053,Which number comes between 15 and 17?,16,is 16,1,0,0,16,96
1057,"33, 34, 35",36,Ans is 36,1,0,0,36,216
1063,Which number comes before 6?,5,is 5,1,0,0,5,11
1071,30 using words is thirty.,T,To count in Thirty,0,0,1,30,30
1139,"987, 465, 988",No,F,1,0,0,No,profanity
1440,"1, 2, 3, 4",5,Y,0,1,0,Yes,okay
1481,8/10 = ____/100,80,"The denominator 100 is given, but the numerator is missing. 
 10 x 10= 100. To find the missing number, we multiply the numerator by 10, too. 
 8 x10= 80",1,0,0,80,100
1488,90/100 = ____/10,9,The is 900,0,1,0,900,5400
1820,"In the given figure, the value of x = ______ degrees.",52,O,0,0,1,0,2
2146,Which number comes between 11 and 13?,12,Number 12,1,1,1,12,12
2159,Which number comes after 8?,9,Number 9,1,1,1,9,9
2632,"What is the value of 4 in 12,049?",40,Tens,1,0,0,40,number
2677,19 _________ 11,G,L,0,0,1,Less,<
2934,90 using words is nineteen.,F,N,1,1,1,F,F
3935,Find half of 10,5,Five,1,1,1,5,5
5063,Which number comes between 11 and 13?,12,Sorry it's 10,0,0,1,10,10
5134,Third,3,Third,0,1,0,1/3,30
5186,How many full weeks (meaning from Monday to Sunday) are there in February 2020?,3,It is 1,0,1,0,1,661
5647,"700,000 ___ 800,000.",<,Less than,1,1,1,<,<
5673,"108,000 ___108,000", =,Greater than,0,1,0,>,>
5786,"What is the value of 5 in 52,348?",50000,Tens thousand,1,0,0,50000,1000
5825,"What is the value of 5 in 52,348?",50000,Ten thousands,1,0,0,50000,10000
5844,These are parallel lines.,F,No,1,1,1,F,F
5961,The line give below is a straight line.,F,No curved line,1,1,1,F,F
5997,What is the value of 1 in 15?,10,Once,0,0,1,Digit appears once,1
6117,"What is the value of 5 in 52,348?",50000,The value of in the ten thousand,1,0,0,50000,1010
3521,7,14,7+7=14,1,0,0,14,7
3514,4,8,4+4=8,1,0,0,8,4
4176,"6, 7, 8, 9",10,1o,1,0,0,10,2
4095,"9,015, 537, 3,000",N,",no",1,1,1,No,No
2159,Which number comes after 8?,9,Number 9,1,1,1,9,9
1828,302 _____ 417,<,302<417,1,0,0,<,numbers
1503,8/10 = ___/100,80,8*10=80,1,0,0,80,8
161,6/10 = ___/100,60,60/100,1,0,0,60,fractions topic
7,4 ___ -5,>,4>-5,1,0,0,>,Next
2078,"What is the value of 5 in 52,348?",50000,5 ten thousand,1,1,1,50000,50000
2500,How many days does April 2010 have in total?,30,30days,1,0,0,30,wait
3509,2,4,2+2=4,1,0,0,4,2
3524,7,7,4+3,1,0,0,7,4